td3_return,benchmark_return
0.0023015488,0.008469105
-0.0009436436,0.0010778904
0.0031825532,-0.004824519
-0.0064289477,0.0033351183
-0.0066359784,-0.0056186914
0.00053921907,-0.0057380795
0.001616488,0.001670599
0.0052898517,0.0021988153
-0.0020928134,0.002519846
-0.0009656697,-0.00051152706
0.0073633515,-0.0020336509
-0.010032144,0.0095899105
0.0002550743,-0.008275449
-0.0029008992,0.00017511845
-0.003847681,-0.0030779243
-0.014571858,-0.0022264123
-0.003182693,-0.010756314
0.0011457144,-0.0031282902
-0.01294358,0.0012671947
-0.002804951,-0.0114094615
0.0022592165,-0.0020408034
-0.0026265671,0.0034595728
-0.0021728026,-0.0047180653
-0.012532035,-0.002212882
0.0043034786,-0.012890518
-0.00037285537,0.0038534403
0.0088509815,-0.00030124187
0.005312747,0.00869596
0.005564202,0.0058989525
0.002062061,0.004006982
-0.0054262783,0.001943469
-0.002071733,-0.0051392317
0.011414459,0.0011640787
0.00031152615,0.009333134
-0.012194643,0.00038576126
-0.006362794,-0.0097821355
-0.009254828,-0.0074530244
-0.0032567172,-0.00858587
0.010701341,-0.0057617426
-0.007388434,0.0062232018
-0.008047573,-0.0031818151
-0.008362815,-0.007616818
0.017626507,-0.011185586
0.0043981373,0.015774488
0.008874317,0.0037629604
0.017577192,0.0067076683
0.0064990586,0.016964912
0.0012153467,0.0065675974
0.002589366,0.0010139942
-0.001250158,0.0016641617
-0.00715395,-0.0011809468
0.012015146,-0.006458938
0.00087952276,0.011541367
0.014701412,0.0015975237
0.004243591,0.014264941
-0.00069047726,0.0046948195
0.0015553996,-0.0013072491
0.0065532923,5.185604e-05
-0.0016030524,0.005830407
0.0053056953,-0.0017851591
0.0027403384,0.0052651167
-0.0003334282,0.0033203363
0.002507834,-0.0016015768
0.0021246627,0.0023635626
0.012679169,0.00037956238
0.0099319685,0.014689922
-0.0020233071,0.008194804
-0.00060067466,-0.0011327863
-0.0030536326,-0.0022064447
0.0028433288,-0.0019413233
0.0023041933,0.0017459393
0.0034411154,0.0036129951
0.0052212924,0.0043329
0.01249819,0.0047523975
0.005236518,0.014005661
0.0017658859,0.004262924
0.0031346062,0.0015251637
0.0054259873,2.3007393e-05
-0.013174741,0.006752372
0.008761781,-0.012671649
-0.0017934752,0.00869298
0.003984688,-0.0004914403
0.0020036623,0.0042625666
0.0015976293,0.0029615164
-0.00078115007,0.0014228821
-0.00060200784,-0.0005452633
-0.0073986542,0.0006766319
-0.0006534575,-0.0075526237
0.002393062,0.00027108192
0.008004592,0.00068831444
-0.0026725316,0.00578928
0.005654175,-0.004188955
0.00010927464,0.00454545
-7.3849485e-05,0.00040555
-0.005865742,-0.0031300783
-0.0032550925,-0.00616765
0.0070462017,-0.0025280118
0.012271669,0.0054186583
0.0026372208,0.01054728
-0.0003121244,0.003644824
