ppo_return,benchmark_return
0.0024337317,0.0032105446
0.009591374,0.008844972
0.0026167734,-0.000967741
-0.0006987973,0.003366232
0.0027570652,-0.0049200654
-0.00050161424,0.0016634464
-0.02787825,-0.0050647855
0.004865875,-0.015269995
-0.005134781,0.00011074543
-0.00907528,-0.005547285
-0.00084567885,-0.010586619
0.01576888,-0.0085859895
0.008936829,0.015083075
0.0077261007,-0.002980113
0.0037808886,0.0036363602
0.002846848,0.0024808645
-0.0006940423,0.002031684
-0.0013924477,-0.0022420287
0.002556489,0.0017796755
3.7411628e-06,-0.0031032562
-0.0022448122,-0.0009087324
-0.005059523,-0.0016818643
0.008106789,-0.0014992356
-0.0048554605,0.004896283
0.0029670259,0.0014636517
0.000111592526,0.007722497
0.009208461,0.0003978014
-0.008481395,0.006663561
0.003379814,-0.0075879693
0.002998384,0.00039994717
-0.00586541,0.0009266138
0.011383544,-0.0011541247
0.0027337589,0.0012950897
0.0005088141,0.004144311
0.005510591,-0.00060641766
0.002011055,0.0017266273
-0.00430146,-0.0007893443
0.01224479,-0.0013424754
-0.005142236,0.010928154
0.0031958863,0.00081539154
-0.00042594934,0.006217003
0.016125035,0.005270362
-0.0012372119,0.018471241
-0.014149277,0.0059480667
-0.013024472,-0.012938917
0.0025565,-0.009282887
0.007726868,0.003174901
-0.014515544,-0.0014190674
0.010058203,-0.01249361
0.009974158,0.002037406
0.0018310411,0.01638329
0.005419744,-0.0012173057
0.0025124806,0.0050172806
-0.014593187,0.0024411678
-0.018976768,-0.01211524
-0.024760664,-0.0151360035
0.004527083,-0.026020706
0.0011910157,0.007606387
0.019444369,-0.006005764
0.0015966237,0.017620683
-0.007817441,0.001294136
0.012302706,-0.0035578609
0.0046278895,0.010382652
0.016039832,0.0061044693
0.0067817443,0.013863802
0.005603084,0.0023840666
-0.0077192285,0.0058231354
0.0035002828,-0.0015053153
-0.004339592,0.001359582
0.009726807,-0.0043459535
-0.000779685,0.011355042
4.2089625e-05,0.0015892982
-0.005908882,0.00024199486
0.007743077,-0.0038564205
0.0065420484,0.005928993
-0.024160322,0.005516529
0.0019793944,-0.015065014
-0.0035792645,0.0009292364
-0.010465289,-0.0053500533
0.017433316,-0.010068297
-0.0028952786,0.012000918
0.002506668,-0.002268672
0.0053806426,0.0030623674
-0.0018360333,0.0057525635
-8.563932e-05,0.0072271824
-0.00037471502,0.005515218
-0.0027470607,-0.00038194656
0.007846479,-0.002477467
0.00015891323,0.01257956
0.0037543671,0.0009082556
-0.0016782823,0.0014570951
-0.008283696,0.001983881
0.006511136,-0.006952882
0.0020232021,0.0062116385
-0.0023639186,0.003269434
-0.00449964,0.00040531158
-0.0019653207,-0.0040911436
-0.005956817,0.0009381771
0.009986022,-0.0043826103
-0.0097045265,0.008120656
0.003770397,-0.009409368
0.0019432756,0.0030064583
-0.004895267,0.010257244
0.011407571,-0.0013614893
0.0060604415,0.009651303
0.007980801,0.0046976805
0.0041079447,-0.0075419545
0.0071999775,0.007891297
0.002826288,0.0037455559
0.0011218871,0.00085246563
0.0028863577,-0.007956147
-0.012515694,-0.00015634298
-0.006483647,-0.009550214
-0.008738637,-0.003306806
-0.0010752929,-0.0061348677
0.0003037255,0.006486416
-0.0026395074,-0.00364542
-0.017959025,-0.0021668077
0.011537155,-0.0089716315
-0.0046190354,0.0069134235
0.0023472318,-0.00612545
0.0056448313,0.010223269
0.012352451,0.03571725
0.006166271,-1.347065e-05
-0.0049212785,0.0059375763
-0.0075789937,0.0069140196
-0.005039754,-0.008627713
-0.0014666351,0.0010751486
-0.0024859882,-0.004716575
0.007969527,-0.0069912076
0.0010472911,-0.0012748837
0.0023490398,-0.0027808547
0.00224375,0.0032246113
0.015651442,0.010640383
0.011936156,0.009714127
0.003560361,0.009934425
0.0008613447,0.002765894
0.0061507495,-0.0030817986
0.0029706373,0.0042169094
-0.0027312678,-0.0028645396
0.0057305912,-0.0017075539
0.0013765479,0.0069009066
-0.005155528,-0.005516708
0.00067297043,-0.0027518868
0.0057482827,-0.005389273
-0.00046007207,-0.0034705997
0.0033083765,-0.0022435188
0.0005320823,-0.005310178
0.0036938484,-0.0019598007
-0.0014241376,-0.002523005
-0.022255706,-0.0061206818
0.0022452965,-0.025846481
0.006640932,0.0003631115
0.00064516533,0.011761904
0.009587491,0.0015566349
0.0029913061,0.009091377
-0.006664321,0.0006644726
-0.012607408,-0.007699549
0.00091533404,-0.009733856
-0.009724519,-0.000693202
0.0021794622,-0.00357157
-0.0012887751,0.008017063
9.8526805e-05,-0.000598371
-0.0008201795,-0.004172623
-0.015445047,0.0025122166
0.004807333,-0.016342103
-0.0033977283,0.008552313
0.011984757,0.005228758
-0.0014541959,0.016540408
0.0076345536,-0.0015830398
0.0021583296,0.007756114
0.006952727,0.012370825
0.007119479,0.002973795
-0.0055420995,0.009247541
0.010615143,-0.0031598806
0.0078223,0.0065128803
-0.0042822757,0.0030589104
0.010121232,-0.0030508637
-0.009058829,0.0037708282
-0.0029311127,-0.0075190067
0.005400461,-0.002755642
0.009993916,0.003019452
0.0043204934,0.0071200132
-0.010639483,-0.0028001666
0.003991469,-0.009927452
0.00677518,0.0037697554
0.0074553946,0.0027712584
0.0061043636,-0.0050475597
-0.0060715526,0.007727742
0.0034558885,-0.0036981702
0.0052578445,0.00023031235
-0.006495834,0.0015990734
-0.009990479,-0.010104537
0.007147565,-0.016946256
-0.0018213403,0.00076425076
-0.015331294,0.0036802292
-0.0002192036,-0.004310727
0.010137448,-0.004457891
-0.011217782,0.013908863
-0.021026919,-0.014818847
0.011886312,-0.0155181885
-0.0099433,0.01142025
0.003980251,-0.009940624
-0.025735205,0.005228877
-0.0042206165,-0.020793736
0.0011145573,-0.011410415
-0.0070910044,-0.0019923449
0.017261261,-0.012995124
0.0065232418,0.016529322
-0.006578115,0.008518934
0.020629132,-0.006221533
-0.0032220953,0.009218574
0.008754737,-0.0002694726
0.009451622,0.0007635355
0.003299613,0.014242291
-0.0033089756,9.8109245e-05
-0.0010001003,-0.0031161904
-0.018931778,-0.0036530495
0.0047530453,-0.016922116
-0.00260645,0.010048628
0.0021319718,-0.0002809763
-0.043746013,0.0056051016
-0.06029559,-0.039772093
-0.0040107938,-0.055025756
-0.0069074202,-0.009115458
0.08050215,-0.008428991
-0.027158795,0.078704
0.010548723,-0.024989605
0.015524403,0.015635133
-0.007266582,0.007760644
-0.010455579,-0.0038452744
-0.00094553054,-0.017329395
-0.017125363,-0.013288856
0.028696338,-0.024827898
0.016461572,0.026632428
0.004734022,0.010707378
0.005562599,0.012291551
0.008708559,0.0005013943
0.0035657203,0.0028442144
0.0051516932,0.007458329
0.004362608,0.0034973621
0.0066868016,0.002055645
-0.0057634856,0.013851047
-0.003603287,-0.0023864508
0.0031406346,-0.009457529
0.008823045,0.0069795847
0.0020740097,0.0061895847
0.020849261,-0.0028783083
0.0013728429,0.028139114
0.00014167909,-0.006358683
0.014125625,-0.0021207929
0.003629111,0.0064610243
0.0010744596,0.00784421
-0.00029020032,0.0032196045
-0.015384629,-0.0026834607
-0.0006952953,-0.019138932
-0.005034304,-3.2305717e-05
0.012395809,-0.0061162114
-0.003464842,0.017801046
0.0075870887,-0.0057848096
0.0027616168,0.0027799606
0.0058520874,0.0012872219
0.0035162657,0.0008376837
-0.0046190117,0.0050622225
-0.0042181853,-0.0021613836
0.009016657,-0.002545476
0.0019589632,0.010471106
-0.0012824906,-2.592802e-05
-0.0024558217,0.0024579763
-0.004494681,-2.5689602e-05
-0.011529112,0.0023760796
0.00736883,-0.01791656
