sf_td3_return,benchmark_return
-0.003215756,-0.0041897893
-0.0060979314,-0.0069417357
-0.004301887,-0.007732153
0.008826984,-0.0010753274
0.0014634802,0.010031819
-0.0029183372,-0.0015277863
0.0031990542,-0.0040708184
0.020561634,0.0046584606
-0.0024889952,0.021208644
-0.0012643317,-0.005920768
0.0016190776,0.0003105402
0.008469884,0.0027325153
0.0021968412,0.005007863
0.003932215,0.0012760162
0.0051777516,0.005595207
-0.0059370915,0.0042797327
0.013631341,-0.0068044066
-0.002707348,0.01261735
-0.005966811,-0.00316602
-0.002371344,-0.007150352
0.0007949311,-0.0030055642
-0.008094062,-0.00014162064
-0.00026567065,-0.006459594
0.0058501246,-0.0003771186
-0.0010408409,0.006288886
0.004993372,-0.002183497
0.008863466,0.007968664
-5.5378918e-05,0.008357525
-0.00051528146,0.0003157854
-0.010587472,-0.0037720203
-0.004836154,-0.010685146
0.0062438473,-0.0055238605
0.009783148,0.006210804
-0.00047126826,0.009339452
0.0027012667,0.0025103092
-0.00058915175,0.0013890266
0.0016746203,0.0033112764
0.005740599,0.0022115707
0.004936129,0.010599256
0.007860878,0.0031266212
0.002578139,0.0046766996
0.0049687326,7.1287155e-05
0.0010162722,0.0052102804
0.0038291898,0.00075769424
-0.0034011733,0.0023152828
0.0038959973,-0.006683588
0.0004192577,0.005004406
0.0028953971,0.002826929
-0.006644662,0.0020008087
-0.002323539,-0.009771347
0.003073755,-0.001888454
0.015240715,-0.0042670965
-0.0027523912,0.011621237
-0.0041476083,-0.0044721365
0.0023787073,-0.005412221
0.004561068,0.0015029907
-4.7158486e-05,0.002992034
-0.010026585,0.00074350834
-0.0063855946,-0.010231197
-0.0037806418,-0.0051693916
0.001913324,-0.008367717
-0.00083370757,0.0007493496
-0.0047925897,-0.0010715127
0.004474267,-0.0050738454
-0.009686686,0.005370617
0.009289917,-0.010836244
0.0037105826,0.0072574615
0.005174652,0.0062037706
0.0021589508,0.008469105
-0.00041719212,0.0010778904
0.0032518911,-0.004824519
-0.0058618644,0.0033351183
-0.0050103157,-0.0056186914
0.005757001,-0.0057380795
0.0008513025,0.001670599
0.005065638,0.0021988153
-0.0013718938,0.002519846
-0.00042800492,-0.00051152706
0.007925387,-0.0020336509
-0.009552753,0.0095899105
0.0012669936,-0.008275449
-0.0013125031,0.00017511845
0.002007766,-0.0030779243
-0.0147584975,-0.0022264123
-0.0017278366,-0.010756314
0.0026702243,-0.0031282902
-0.0122013055,0.0012671947
-0.0006007523,-0.0114094615
0.00042604556,-0.0020408034
-0.0075470726,0.0034595728
-0.0022827182,-0.0047180653
-0.008591822,-0.002212882
0.0025512038,-0.012890518
-0.0033528388,0.0038534403
0.0058088484,-0.00030124187
0.00662063,0.00869596
0.0035214985,0.0058989525
0.0019150216,0.004006982
-0.00531209,0.001943469
0.00013243935,-0.0051392317
0.009594492,0.0011640787
0.0015722665,0.009333134
-0.0065351524,0.00038576126
-0.006414375,-0.0097821355
-0.009576077,-0.0074530244
-0.007647686,-0.00858587
0.006233523,-0.0057617426
-0.008621959,0.0062232018
-0.004147705,-0.0031818151
-0.007602605,-0.007616818
0.014015951,-0.011185586
0.0019087471,0.015774488
0.0075864187,0.0037629604
0.014389779,0.0067076683
0.0024408433,0.016964912
0.0015633154,0.0065675974
-0.0003439652,0.0010139942
-0.003957479,0.0016641617
-0.0055296207,-0.0011809468
0.011865564,-0.006458938
0.0048470353,0.011541367
0.010146029,0.0015975237
0.0022472516,0.014264941
-0.010214879,0.0046948195
0.0012050542,-0.0013072491
0.0064973333,5.185604e-05
-0.00065328,0.005830407
0.0038640755,-0.0017851591
0.004448232,0.0052651167
-0.0012393605,0.0033203363
0.0023396115,-0.0016015768
0.00033422097,0.0023635626
0.017361388,0.00037956238
0.009326648,0.014689922
-0.0031783443,0.008194804
-0.0022424266,-0.0011327863
-0.0034056492,-0.0022064447
0.0014280714,-0.0019413233
0.0014631384,0.0017459393
0.006972636,0.0036129951
0.0038992194,0.0043329
0.011228629,0.0047523975
-0.00040470486,0.014005661
0.0025374307,0.004262924
0.00521414,0.0015251637
0.004899883,2.3007393e-05
-0.01183208,0.006752372
0.008178555,-0.012671649
0.003581394,0.00869298
0.0049717636,-0.0004914403
0.0035632174,0.0042625666
-0.00063256925,0.0029615164
-0.00042907312,0.0014228821
0.00077828846,-0.0005452633
-0.0055206283,0.0006766319
-0.0016889925,-0.0075526237
-0.001463262,0.00027108192
0.0038402784,0.00068831444
-0.003056034,0.00578928
0.004818332,-0.004188955
0.0018610724,0.00454545
-0.0006509402,0.00040555
