a2c_return,benchmark_return
0.0088310875,0.0054186583
0.002879138,0.01054728
0.009859957,0.003644824
0.00057975657,-0.0025356412
0.008259892,-0.002613306
0.0035814315,0.0064206123
0.0073499535,0.0015847683
0.004904095,0.0058783293
-0.011578502,0.0034919977
0.010241431,-0.008240938
0.010497008,0.009686351
0.00037944928,0.0034937859
0.00081514096,-0.007096231
0.005447361,0.0036799908
-0.00011842247,0.004049659
-0.000654389,0.0012661219
0.0048286486,-0.001410842
-0.008260703,0.003250122
0.008942863,-0.013522267
0.009810411,0.0039589405
-0.002312083,0.0090789795
-0.0069594528,-0.003743112
0.0017763777,-0.0016616583
0.027992008,0.0012559891
-1.7071543e-05,0.011832237
-0.0028481784,0.0015977621
-0.005046342,-0.0015920997
-0.0046115653,-0.0024781823
0.0033128322,-0.00060015917
0.0073692445,0.0012162924
-0.00561933,0.0023332834
-0.007768307,-0.002495706
0.004214931,-0.010378003
0.0080138715,0.0019659996
-0.005765439,0.003370285
0.006242535,-0.0017699599
0.009681187,0.0012129545
0.0021164462,0.006082773
-0.0071817813,0.0009698868
-0.004034909,-0.0035258532
0.0028570145,-0.0049064755
0.0070770797,0.001954317
0.004213082,0.008257985
0.0051448857,0.01026237
-0.0030390124,0.006814122
0.0040598568,-0.007678807
-0.0037993246,-0.0041102767
0.007065485,-0.00079649687
0.0039181197,0.01216197
-0.0015277043,0.0011894703
-0.007987216,-0.0060420632
-0.00030356404,-0.010023892
-0.014691125,-0.0011002421
0.007383356,-0.0135496855
-0.0029931068,0.007955551
1.5844767e-05,-0.0002888441
-0.004772463,-0.00023472309
0.003748913,-0.010856986
-0.012814814,-6.330013e-05
-0.010250781,-0.012372613
0.003945677,-0.0065326095
-0.0010949395,0.0016922951
0.006142254,-0.0012079477
-0.0067440653,0.00058460236
0.0032491349,0.0055861473
0.010421766,0.006675601
-0.0032533398,0.0068962574
0.008270467,-0.0011107922
0.0132931555,-0.009753287
0.0013027403,0.0040397644
-0.017320018,0.0038292408
-0.0089724865,-0.0148534775
0.009111997,0.002310276
0.004400865,0.008505106
0.011405445,0.011772752
0.003290946,0.004565954
0.0012185283,0.00082337856
0.0032120044,0.0044267178
0.004598424,0.008484483
0.0012155282,0.0031756163
-0.00033054777,-0.0020582676
0.011422012,0.0032105446
-0.0015153193,0.008844972
-0.00010967945,-0.000967741
-0.000955995,0.003366232
-0.0013848186,-0.0049200654
-0.0036077278,0.0016634464
0.004823369,-0.0050647855
0.0007139619,-0.015269995
0.004418714,0.00011074543
-0.0066360882,-0.005547285
-0.019529305,-0.010586619
0.021315603,-0.0085859895
0.0029258933,0.015083075
0.005146696,-0.002980113
0.005686133,0.0036363602
0.0038096542,0.0024808645
-0.0036525775,0.002031684
0.0012901197,-0.0022420287
-0.0018728068,0.0017796755
-0.006119294,-0.0031032562
0.000647383,-0.0009087324
0.0022619125,-0.0016818643
-0.0008959629,-0.0014992356
0.0066695493,0.004896283
0.0077420124,0.0014636517
-0.0022616691,0.007722497
0.0016327817,0.0003978014
0.0041593583,0.006663561
-0.004266739,-0.0075879693
0.0004030788,0.00039994717
-0.012552766,0.0009266138
0.0029559333,-0.0011541247
-0.0033935285,0.0012950897
0.004421443,0.004144311
-0.003675126,-0.00060641766
-0.0021936474,0.0017266273
-0.0008952371,-0.0007893443
0.012771523,-0.0013424754
-0.0032647734,0.010928154
0.005458849,0.00081539154
-0.0012483896,0.006217003
0.009172784,0.005270362
0.0031950045,0.018471241
-0.0019039905,0.0059480667
-0.0077438317,-0.012938917
0.00022210342,-0.009282887
-0.0070650163,0.003174901
-0.008575689,-0.0014190674
0.003533342,-0.01249361
0.008387497,0.002037406
-0.0038203022,0.01638329
-0.01201725,-0.0012173057
0.017883763,0.0050172806
-0.019138597,0.0024411678
-0.0067488397,-0.01211524
-0.032322936,-0.0151360035
0.0049865455,-0.026020706
-0.0059108417,0.007606387
0.020935854,-0.006005764
0.0022130662,0.017620683
0.0036808331,0.001294136
0.016804779,-0.0035578609
0.004570698,0.010382652
0.012466153,0.0061044693
